nsecode,per_chg,close,volume
UFLEX,19.53,676.7,3935756
JINDALPOLY,18.71,889.5,1464452
PGEL,12.37,490.1,3281194
GANECOS,10.65,1773.85,262887
ISGEC,10.08,1497.55,295668
SUVEN,9.9,142.36,2694943
VINYLINDIA,9.61,408.25,221222
VISHNU,8.76,439.35,467995
RADHIKAJWE,8.65,75.74,2352412
KIRLPNU,8.1,1352.3,202620
ZENSARTECH,7.73,797.6,4345258
JINDALPHOT,7.5,844.45,40216
GENESYS,7.18,711.75,721179
MOL,7.13,93.42,3685892
WELCORP,6.93,706.7,4696530
JPOLYINVST,6.89,847.55,12042
VOLTAMP,6.81,13939.95,36030
VESUVIUS,6.64,5106.1,37554
POWERINDIA,6.37,11828.7,35718
MAPMYINDIA,6.32,2246.55,479515
ADVANIHOTR,6.23,79.28,740782
ABCAPITAL,6.2,216.09,10588004
LUMAXIND,6.11,2690.15,30716
DALMIASUG,5.9,406.7,212494
MCX,5.86,4636.35,1183989
SBCL,5.78,591.3,121557
KECL,5.75,213.99,623579
DLF,5.51,866.9,8826463
MADRASFERT,5.38,111.35,2847248
KIRLOSBROS,5.36,1985.95,96661
NBCC,5.28,182.79,23843576
SONACOMS,5.27,686.7,1925480
JUSTDIAL,5.27,1275.95,504569
COSMOFIRST,5.18,919.4,333595
MONARCH,5.12,716.75,294585
MGL,5.07,1817.9,607441
GMRP&UI,5.0,104.45,1970648
PARAS,5.0,1208.35,59322
HARIOMPIPE,4.99,712.7,259146
IEX,4.85,194.82,14692697
TARC,4.85,222.57,989424
HARSHA,4.7,536.3,253749
ICIL,4.69,378.3,474070
ACI,4.64,749.75,682292
KELLTONTEC,4.58,153.68,1735267
METROPOLIS,4.57,2071.9,227808
ARIHANTCAP,4.53,75.25,805541
DCW,4.4,77.65,6382724
DLINKINDIA,4.37,541.8,218252
EVEREADY,4.34,467.25,851751
JITFINFRA,4.32,1038.3,112508
BANCOINDIA,4.3,671.0,95279
COROMANDEL,4.28,1759.75,693781
UBL,4.24,1971.75,312590
360ONE,4.17,1069.6,1240705
POLYCAB,4.07,6674.35,479627
ASAHIINDIA,4.06,638.45,69925
BIOCON,4.06,340.95,3040519
PFC,4.04,504.25,10378455
BORORENEW,4.01,510.4,811027
BALRAMCHIN,3.99,522.55,3515956
PDMJEPAPER,3.86,113.42,250168
ASHOKLEY,3.85,255.95,11252971
MOREPENLAB,3.82,60.85,22228973
MALLCOM,3.8,1370.0,4376
AHLUCONT,3.79,1316.1,59844
HCC,3.78,47.47,21326347
SANSERA,3.78,1467.05,214883
SCHNEIDER,3.75,823.4,219213
IMPAL,3.74,1275.0,2909
NITCO,3.71,77.62,574942
TCNSBRANDS,3.63,565.45,44081
COFORGE,3.52,6077.0,408062
GRASIM,3.5,2600.35,725906
ADANIPOWER,3.46,697.4,16282832
PATANJALI,3.45,1825.15,1020965
MOTILALOFS,3.42,623.15,1476847
GMRINFRA,3.39,95.87,10705081
TATAMOTORS,3.39,1098.35,11435650
TATAMTRDVR,3.37,749.95,2060910
SOLARINDS,3.3,10497.45,47833
BEL,3.27,303.3,21353408
IGARASHI,3.25,640.0,126119
ABBOTINDIA,3.24,27929.9,22838
ADSL,3.21,212.54,337121
AMIORG,3.09,1258.05,120733
BEPL,3.04,142.84,1246718
GTLINFRA,3.01,2.74,200155897
RVNL,2.99,570.65,21355519
SHRIRAMFIN,2.98,2981.5,995419
GLAXO,2.97,2905.85,139605
OBEROIRLTY,2.96,1766.15,718392
PUNJABCHEM,2.91,1220.0,4406
ERIS,2.9,1209.55,230419
ZFCVINDIA,2.9,16000.0,8309
KICL,2.88,5599.0,1167
JKCEMENT,2.87,4225.05,78661
RECLTD,2.83,579.65,6950751
INDIAMART,2.82,2748.7,203255
AJMERA,2.81,700.0,19012
CASTROLIND,2.79,252.3,4276342
PANAMAPET,2.79,401.8,316251
AMBUJACEM,2.78,640.5,958234
KESORAMIND,2.78,207.06,332912
M&MFIN,2.76,295.85,859739
BRIGADE,2.75,1152.35,1130256
EMUDHRA,2.74,798.35,255419
CROMPTON,2.74,440.3,2957953
BLUEDART,2.71,8051.85,9391
GANESHHOUC,2.7,874.7,53780
ABFRL,2.68,319.45,1757778
STYLAMIND,2.66,1911.05,19341
ULTRACEMCO,2.66,11295.7,435631
AFFLE,2.66,1554.5,422200
BLAL,2.63,281.3,144562
APOLLOHOSP,2.63,6686.9,611101
GAIL,2.6,232.55,10347738
AHL,2.6,591.0,457693
PDSL,2.57,559.75,66414
MANALIPETC,2.52,90.08,432503
LTIM,2.51,5563.75,445477
GIPCL,2.5,215.8,534148
ASIANTILES,2.49,79.74,1916656
CAMS,2.49,4272.7,434508
TIRUMALCHM,2.47,321.75,234678
PRICOLLTD,2.44,511.8,333974
FLUOROCHEM,2.43,3427.0,115011
HUHTAMAKI,2.37,433.4,214138
RAILTEL,2.35,475.4,1735394
SKIPPER,2.35,415.8,606125
GEECEE,2.33,369.5,32595
GODREJPROP,2.32,2940.25,651403
NAZARA,2.3,942.8,971395
CYBERTECH,2.29,174.18,104462
CUB,2.29,164.56,1257009
BHEL,2.26,296.55,10118811
AMRUTANJAN,2.25,750.4,47184
TIINDIA,2.24,4011.25,195302
DHARMAJ,2.22,350.35,147575
ICICIBANK,2.2,1187.25,10961370
QUESS,2.19,698.4,240966
METROBRAND,2.15,1328.6,103230
ORIENTELEC,2.14,269.9,361945
MSUMI,2.13,70.48,9630052
PILANIINVS,2.13,4825.0,4373
ITC,2.12,502.65,13137392
VEDL,2.11,429.05,9815524
VADILALIND,2.1,4112.0,7422
IOC,2.09,167.17,10622879
SRHHYPOLTD,2.08,567.9,46096
TEXRAIL,2.06,250.35,2624810
NESTLEIND,2.05,2525.45,859837
JSWSTEEL,2.04,908.45,2209111
FIEMIND,1.96,1327.0,140205
QUICKHEAL,1.95,586.8,120935
GRINDWELL,1.95,2454.05,17412
INDHOTEL,1.92,623.2,1277279
ATFL,1.92,864.1,25372
GREAVESCOT,1.91,165.98,1538710
ARVINDFASN,1.9,475.5,204325
HNDFDS,1.86,574.95,122358
MAHLOG,1.85,483.25,65440
TRIL,1.84,691.0,60935
FORCEMOT,1.83,8288.15,19830
SUKHJITS,1.82,494.0,6219
PETRONET,1.8,370.9,2090886
GRINFRA,1.76,1604.5,32219
GODREJIND,1.75,905.65,144858
MAXHEALTH,1.74,885.15,785988
TATACONSUM,1.73,1187.75,831974
KARURVYSYA,1.72,216.99,1063869
TATACOMM,1.7,1864.6,146420
SMCGLOBAL,1.7,145.94,602389
CARBORUNIV,1.69,1577.8,139700
KOTAKBANK,1.68,1777.3,2961871
CAPLIPOINT,1.67,1585.5,70156
MARICO,1.66,661.05,1290553
INDIGO,1.61,4277.7,727461
SUDARSCHEM,1.61,983.75,176996
CHEVIOT,1.6,1437.45,11083
WENDT,1.56,14870.0,680
HDFCBANK,1.51,1632.1,13924623
SESHAPAPER,1.5,338.5,35746
APARINDS,1.45,8426.1,43500
GHCL,1.43,631.9,276603
KRITIKA,1.37,19.23,222095
IGL,1.36,545.85,765034
HUDCO,1.32,291.8,7600402
SEAMECLTD,1.31,1500.0,245935
GILLETTE,1.28,7856.1,16014
HIKAL,1.27,319.8,111748
ADANIGREEN,1.26,1831.0,883836
ROSSELLIND,1.26,577.85,28399
BRITANNIA,1.25,5729.65,144969
MANYAVAR,1.25,1124.0,66194
NLCINDIA,1.24,261.7,1926853
YESBANK,1.17,24.27,97174941
PAGEIND,1.15,41095.0,5230
SBIN,1.13,812.1,11427335
WINDMACHIN,1.12,172.02,158628
CHEMBOND,1.05,610.45,11216
GARFIBRES,0.89,3676.0,8253
CIGNITITEC,0.85,1365.0,91124
CHOICEIN,0.69,392.8,527992
LT,0.65,3568.35,2808865
HEIDELBERG,0.65,219.93,202832
TEAMLEASE,0.64,3100.0,12200
WHIRLPOOL,0.36,2082.2,125959
